,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,date
85,"Joinville, SC, Brasil",2023-09-02,20.0,16.3,18.5,20.0,16.3,18.5,17.6,94.8,4.3,100,33.33,rain,0,0,17.3,13.2,181.5,1013.8,87.7,10.2,47.2,3.9,4,10,2023-09-02T06:27:14,2023-09-02T18:03:28,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-09-02
86,"Joinville, SC, Brasil",2023-09-03,26.7,17.2,20.6,28.4,17.2,20.6,18.9,91.0,9.1,100,62.5,rain,0,0,13.3,14.2,135.0,1011.6,70.9,7.6,173.5,15.0,8,10,2023-09-03T06:26:10,2023-09-03T18:03:53,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,82798199999,86945099999,86948099999,86947099999,SBJV",2023-09-03
87,"Joinville, SC, Brasil",2023-09-04,28.5,18.3,22.9,30.8,18.3,23.3,20.7,88.1,2.0,100,25.0,rain,0,0,35.6,28.2,339.3,1008.3,86.3,6.0,128.5,11.0,7,60,2023-09-04T06:25:06,2023-09-04T18:04:17,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-09-04
88,"Joinville, SC, Brasil",2023-09-05,23.9,17.9,21.0,23.9,17.9,21.0,16.5,75.9,0.1,100,4.17,rain,0,0,30.6,22.1,125.6,1018.7,87.8,13.6,111.3,9.7,6,10,2023-09-05T06:24:02,2023-09-05T18:04:42,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-09-05
89,"Joinville, SC, Brasil",2023-09-06,18.1,15.0,16.8,18.1,15.0,16.8,14.6,87.4,0.3,100,12.5,rain,0,0,13.0,7.6,261.0,1027.1,96.7,11.2,66.8,5.7,3,10,2023-09-06T06:22:57,2023-09-06T18:05:06,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-09-06
90,"Joinville, SC, Brasil",2023-09-07,21.9,15.7,19.1,21.9,15.7,19.1,16.8,86.7,0.7,100,25.0,rain,0,0,33.8,15.0,22.5,1022.9,92.3,11.9,67.1,5.9,3,10,2023-09-07T06:21:52,2023-09-07T18:05:31,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-09-07
91,"Joinville, SC, Brasil",2023-09-08,26.8,17.9,21.7,28.3,17.9,21.7,18.7,84.0,2.1,100,12.5,rain,0,0,29.2,13.0,352.7,1015.6,78.3,13.4,119.4,10.3,9,10,2023-09-08T06:20:47,2023-09-08T18:05:55,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-09-08
92,"Joinville, SC, Brasil",2023-09-09,24.0,18.2,20.6,24.0,18.2,20.6,19.0,91.0,2.8,100,29.17,rain,0,0,15.8,17.5,181.4,1015.5,85.4,13.4,73.1,6.3,3,10,2023-09-09T06:19:41,2023-09-09T18:06:19,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-09-09
93,"Joinville, SC, Brasil",2023-09-10,22.0,17.1,19.5,22.0,17.1,19.5,17.9,90.8,0.1,100,4.17,rain,0,0,10.4,14.4,112.8,1019.9,91.5,11.9,91.6,7.8,3,10,2023-09-10T06:18:35,2023-09-10T18:06:44,0.85,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-09-10
94,"Joinville, SC, Brasil",2023-09-11,25.8,17.8,20.9,25.8,17.8,20.9,18.7,88.5,0.0,0,0.0,,0,0,15.8,14.7,65.5,1015.9,54.4,12.4,247.1,21.4,8,10,2023-09-11T06:17:29,2023-09-11T18:07:08,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-09-11
95,"Joinville, SC, Brasil",2023-09-12,26.1,19.6,21.8,26.1,19.6,21.8,20.1,90.7,0.0,0,0.0,,0,0,25.9,21.6,136.1,1013.8,70.1,10.3,241.0,20.8,8,30,2023-09-12T06:16:23,2023-09-12T18:07:32,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-09-12
96,"Joinville, SC, Brasil",2023-09-13,22.9,18.0,20.7,22.9,18.0,20.7,19.1,91.1,0.6,100,16.67,rain,0,0,27.0,15.7,90.0,1009.2,84.6,11.5,190.1,16.4,9,10,2023-09-13T06:15:16,2023-09-13T18:07:56,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-09-13
97,"Joinville, SC, Brasil",2023-09-14,24.7,16.8,20.1,24.7,16.8,20.1,13.7,68.3,0.0,0,0.0,,0,0,30.2,19.9,181.5,1014.2,76.3,13.1,202.8,17.6,10,10,2023-09-14T06:14:09,2023-09-14T18:08:21,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBNF,83905099999,86946099999,F5423,82599199999,82798199999,86945099999,86948099999,86947099999,83926099999,SBJV",2023-09-14
98,"Joinville, SC, Brasil",2023-09-15,20.0,13.1,16.6,20.0,13.1,16.6,13.2,80.8,0.7,100,25.0,rain,0,0,18.4,12.9,54.7,1020.0,81.3,12.9,131.0,11.4,6,10,2023-09-15T06:13:02,2023-09-15T18:08:45,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-09-15
